event_id,cycle_id,event_type,event_date,source_effective_date,event_date_basis,outcome_eligible,target_before,target_after,change_bp,scheduled_decision_match,cycle_start_year
E01_1982_EASING_CYCLE_START,E01_1982,EASING_CYCLE_START,1982-10-01,1982-10-01,HISTORICAL_TARGET_RECONSTRUCTION,False,10.25,10.0,-25.0,False,1982
E01_1982_EASING_CYCLE_END,E01_1982,EASING_CYCLE_END,1982-12-14,1982-12-14,HISTORICAL_TARGET_RECONSTRUCTION,False,9.0,8.5,-50.0,False,1982
T01_1983_FIRST_HIKE,T01_1983,FIRST_HIKE,1983-03-31,1983-03-31,HISTORICAL_TARGET_RECONSTRUCTION,True,8.5,8.625,12.5,False,1983
T01_1983_TIGHTENING_CYCLE_START,T01_1983,TIGHTENING_CYCLE_START,1983-03-31,1983-03-31,HISTORICAL_TARGET_RECONSTRUCTION,True,8.5,8.625,12.5,False,1983
T01_1983_LAST_HIKE,T01_1983,LAST_HIKE,1983-08-11,1983-08-11,HISTORICAL_TARGET_RECONSTRUCTION,True,9.4375,9.5625,12.5,False,1983
T01_1983_TIGHTENING_CYCLE_END,T01_1983,TIGHTENING_CYCLE_END,1983-08-11,1983-08-11,HISTORICAL_TARGET_RECONSTRUCTION,True,9.4375,9.5625,12.5,False,1983
E02_1983_EASING_CYCLE_START,E02_1983,EASING_CYCLE_START,1983-08-17,1983-08-17,HISTORICAL_TARGET_RECONSTRUCTION,False,9.5625,9.5,-6.25,False,1983
T01_1983_FIRST_CUT,T01_1983,FIRST_CUT,1983-08-17,1983-08-17,HISTORICAL_TARGET_RECONSTRUCTION,True,9.5625,9.5,-6.25,False,1983
E02_1983_EASING_CYCLE_END,E02_1983,EASING_CYCLE_END,1983-09-15,1983-09-15,HISTORICAL_TARGET_RECONSTRUCTION,False,9.5,9.375,-12.5,False,1983
T02_1984_FIRST_HIKE,T02_1984,FIRST_HIKE,1984-03-29,1984-03-29,HISTORICAL_TARGET_RECONSTRUCTION,True,9.375,10.5,112.5,False,1984
T02_1984_TIGHTENING_CYCLE_START,T02_1984,TIGHTENING_CYCLE_START,1984-03-29,1984-03-29,HISTORICAL_TARGET_RECONSTRUCTION,True,9.375,10.5,112.5,False,1984
T02_1984_LAST_HIKE,T02_1984,LAST_HIKE,1984-08-09,1984-08-09,HISTORICAL_TARGET_RECONSTRUCTION,True,11.25,11.5,25.0,False,1984
T02_1984_TIGHTENING_CYCLE_END,T02_1984,TIGHTENING_CYCLE_END,1984-08-09,1984-08-09,HISTORICAL_TARGET_RECONSTRUCTION,True,11.25,11.5,25.0,False,1984
T02_1984_PAUSE_START,T02_1984,PAUSE_START,1984-08-21,,FOMC_SCHEDULED_DECISION_DATE,True,,,0.0,True,1984
E03_1984_EASING_CYCLE_START,E03_1984,EASING_CYCLE_START,1984-09-20,1984-09-20,HISTORICAL_TARGET_RECONSTRUCTION,False,11.5,11.25,-25.0,False,1984
T02_1984_FIRST_CUT,T02_1984,FIRST_CUT,1984-09-20,1984-09-20,HISTORICAL_TARGET_RECONSTRUCTION,True,11.5,11.25,-25.0,False,1984
E03_1984_EASING_CYCLE_END,E03_1984,EASING_CYCLE_END,1984-12-24,1984-12-24,HISTORICAL_TARGET_RECONSTRUCTION,False,8.5,8.125,-37.5,False,1984
E04_1985_EASING_CYCLE_START,E04_1985,EASING_CYCLE_START,1985-04-25,1985-04-25,HISTORICAL_TARGET_RECONSTRUCTION,False,8.5,8.25,-25.0,False,1985
E04_1985_EASING_CYCLE_END,E04_1985,EASING_CYCLE_END,1985-07-11,1985-07-11,HISTORICAL_TARGET_RECONSTRUCTION,False,7.75,7.6875,-6.25,True,1985
E05_1985_EASING_CYCLE_START,E05_1985,EASING_CYCLE_START,1985-12-18,1985-12-18,HISTORICAL_TARGET_RECONSTRUCTION,False,8.0,7.75,-25.0,True,1985
